CustomerID,CustomerName,Region,SignupDate,TotalQuantity,TotalValue,AveragePrice,TransactionCount,Cluster
C0001,Lawrence Carroll,South America,2022-07-10,12,3354.5200000000004,278.334,5,3
C0002,Elizabeth Lutz,Asia,2022-02-13,10,1862.74,208.92,4,2
C0003,Michael Rivera,South America,2024-03-07,14,2725.38,195.70749999999998,4,2
C0004,Kathleen Rodriguez,South America,2022-10-09,23,5354.88,240.63625000000002,8,0
C0005,Laura Weber,Asia,2022-08-15,7,2034.24,291.6033333333333,3,1
C0006,Brittany Palmer,South America,2024-01-07,12,4227.57,332.03499999999997,4,3
C0007,Paul Graves,Asia,2022-06-18,8,2579.8199999999997,350.02,3,1
C0008,David Li,North America,2024-01-13,20,4271.61,231.16,10,0
C0009,Joy Clark,Europe,2023-08-14,3,896.5,298.8333333333333,3,1
C0010,Aaron Cox,Europe,2022-12-15,12,1717.5500000000002,153.27,4,2
C0011,Bryan Mathews,South America,2022-12-12,13,3730.0,292.628,5,3
C0012,Kevin May,South America,2024-08-07,19,5231.259999999999,270.7985714285714,7,0
C0013,Lauren Buchanan,South America,2024-05-19,18,6000.56,320.79,7,0
C0014,Deborah Wilcox,Europe,2024-06-22,2,318.66,159.33,1,2
C0015,Tina Duran,North America,2023-11-20,4,1157.48,355.78999999999996,2,1
C0016,Emily Woods,North America,2024-01-03,10,3874.42,391.35,5,1
C0017,Jennifer King,Europe,2023-12-05,21,4753.82,225.785,8,0
C0018,Tyler Haynes,North America,2024-09-21,18,4781.85,254.33800000000002,5,3
C0019,Brandon Rodriguez,Europe,2023-01-12,11,2185.8199999999997,240.63333333333333,6,3
C0020,Mr. Manuel Conway,North America,2024-06-11,3,922.41,307.47,1,1
C0021,Robert Blanchard,Asia,2023-04-17,17,5419.92,308.57625,8,0
C0022,Teresa Esparza,Asia,2023-10-27,15,4655.07,279.3983333333333,6,3
C0023,Nicholas Cain,Europe,2022-03-04,14,5158.65,394.53666666666663,6,3
C0024,Michele Cooley,North America,2024-02-05,14,3627.02,298.0314285714286,7,3
C0025,Gregory Odom,South America,2022-07-04,8,1589.81,182.9375,4,2
C0026,Sara Miller,North America,2024-05-03,12,3549.05,315.91,4,3
C0027,Justin Heath,Asia,2022-11-09,12,2562.94,233.5375,4,2
C0028,Jennifer Pena,Asia,2024-06-29,24,6819.57,288.61125,8,0
C0029,Erin Manning,North America,2022-04-16,10,1785.8700000000001,207.8175,4,2
C0030,Mark Brock,North America,2024-01-30,13,2549.6800000000003,222.82399999999998,5,3
C0031,Tina Miller,South America,2024-04-11,10,2005.38,234.61,4,2
C0032,Dustin Campbell,South America,2024-04-17,5,673.0,181.5,3,2
C0033,Tyler Holt,North America,2024-08-04,2,132.64,66.32,1,2
C0034,Dalton Perez,North America,2023-09-27,17,3073.2000000000003,194.31333333333336,6,3
C0035,Brianna Richardson,North America,2024-10-01,10,2587.61,234.66750000000002,4,2
C0036,Brian Aguilar DDS,North America,2024-07-06,8,1877.96,227.47333333333336,3,2
C0037,Linda Smith,Europe,2023-02-04,14,4252.77,299.096,5,3
C0038,Jeffrey Perkins,North America,2022-04-16,13,2696.85,200.71800000000002,5,2
C0039,Angela Harris,South America,2024-10-13,18,4239.6,216.85,6,3
C0040,Michael Harrell,Asia,2022-03-07,10,3969.3999999999996,397.34,3,1
C0041,Lindsey Deleon,Europe,2023-12-27,23,6149.78,254.28285714285715,7,0
